index,date,type,co,quan,pps,basis,sale_quan,flag,buy_cf_quan,buy_cf_pps,buy_cf_basis,buy_quan,buy_pps,buy_basis,sell_quan,sell_pps,sell_basis,profit_loss,sold_cf_quan,sold_cf_pps,sold_cf_basis,true_false
1,44926,Buy,AMC,100,4.07,4273.50,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
2,44953,Sell,AMC,1000,5.5124,5512.40,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
3,44946,Buy,AMC,1000,5.625,5625.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
4,44960,Sell,AMC,1000,6.68255,6682.55,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
5,44949,Buy,AMC,1000,5.788,5788.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
6,44960,Sell,AMC,1000,6.255,6255.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
7,44953,Buy,AMC,2000,5.2394,10478.80,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
8,44960,Sell,AMC,1000,6.1901,6190.10,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
9,44967,Buy,AMC,2000,4.745,9490.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
10,44978,Sell,AMC,3000,5.855,17565.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
11,44967,Buy,AMC,1000,4.78,4780.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
12,44970,Buy,AMC,3000,4.7296,14188.80,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
13,44970,Buy,AMC,1500,4.7183,7077.45,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
14,44970,Buy,AMC,300,4.7167,1415.01,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
15,44970,Buy,AMC,2000,4.71,9420.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
16,44979,Sell,AMC,6000,6.615,39690.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
17,44972,Buy,AMC,4000,4.7801,19120.40,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
18,44984,Sell,AMC,3000,7.816,23448.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
19,44984,Sell,AMC,1850,7.585,14032.25,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
20,44984,Sell,AMC,1000,7.816,7816.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
21,44988,Buy,AMC,5000,6.5891,32945.50,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
22,44988,Buy,AMC,1000,6.485,6485.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
23,44988,Sell,AMC,3000,6.5513,19653.90,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
24,44992,Buy,AMC,2900,6.1491,17832.39,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
25,44992,Buy,AMC,100,6.145,614.50,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
26,44993,Sell,AMC,500,5.845,2922.50,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
27,44993,Sell,AMC,3000,5.945,17835.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
28,44993,Sell,AMC,2000,5.755,11510.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
29,44993,Sell,AMC,500,5.72,2860.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
30,45001,Buy,AMC,1000,4.295,4295.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
31,45001,Buy,AMC,2000,4.3074,8614.80,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
32,45002,Buy,AMC,1000,4.29,4290.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
33,45002,Buy,AMC,1000,4.225,4225.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
34,45006,Buy,AMC,2000,4.42,8840.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
35,45022,Sell,AMC,2000,4.915,9830.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
36,45036,Sell,AMC,5000,4.945,24725.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
37,45037,Buy,AMC,400,5.01,2004.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
38,45043,Buy,AMC,700,5.445,3811.50,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
39,45063,Buy,AMC,1000,5.009,5009.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
40,45076,Sell,AMC,1000,4.5828,4582.80,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
41,45079,Sell,AMC,1100,4.54,4994.00,0,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0
